Country,YearsProgram,DeveloperType,HaveWorkedLanguage,Salary
Italy,1 to 2 years,Web developer,C; C#; JavaScript; Python; SQL,21505.376344086
United Kingdom,4 to 5 years,NA,Java; JavaScript; Matlab; PHP; SQL,NA
Turkey,10 to 11 years,Web developer; Mobile developer; Database administrator,Hack; JavaScript; Objective-C; PHP; Python; SQL; Visual Basic 6,9917.35537190083
United States,13 to 14 years,Web developer; Other,C#; Go; JavaScript; SQL,15e4
United States,20 or more years,Web developer; Systems administrator; DevOps specialist,C++; JavaScript; Perl; SQL,14e4
South Korea,9 to 10 years,Embedded applications/devices developer; Desktop applications developer,C++; C#; SQL,NA
Norway,16 to 17 years,Data scientist; Other,C; C++; JavaScript; Lua; Perl; PHP; Python; SQL,NA
Czech Republic,10 to 11 years,Web developer,C#; JavaScript; PHP,13155.8339859045
Romania,20 or more years,Web developer; Mobile developer; Graphic designer,Java; JavaScript; PHP; Python; SQL; TypeScript,NA
Iran,4 to 5 years,Web developer; Database administrator; Systems administrator,NA,NA
India,3 to 4 years,Web developer; Mobile developer; Desktop applications developer,NA,0.0293642636910879
Germany,20 or more years,Web developer,C#; JavaScript; SQL,32258.064516129
United States,20 or more years,Web developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist; Other,NA,NA
Brazil,Less than a year,Desktop applications developer,NA,NA
Serbia,8 to 9 years,NA,C; Java; JavaScript; Python,NA
United States,20 or more years,Web developer; Systems administrator; DevOps specialist,Perl; Python; SQL,NA
Germany,20 or more years,Web developer; Database administrator; Systems administrator,JavaScript; PHP; SQL; VBA,59139.7849462366
Switzerland,9 to 10 years,Web developer; Database administrator; Systems administrator; DevOps specialist,JavaScript; PHP; SQL,NA
Germany,20 or more years,Desktop applications developer,C#; Python,NA
New Caledonia (French),20 or more years,NA,JavaScript; PHP; SQL,NA
India,Less than a year,NA,PHP,NA
United Arab Emirates,2 to 3 years,Web developer; Graphics programming; Graphic designer,PHP,NA
China,13 to 14 years,Web developer; Mobile developer; Database administrator; Systems administrator,C; Go; JavaScript; Lua; Matlab; PHP,58139.5348837209
Canada,20 or more years,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator; Systems administrator,C++; Java; JavaScript; PHP; SQL,NA
Canada,20 or more years,Desktop applications developer,C; C++; Go; JavaScript; PHP; Ruby; SQL,NA
Pakistan,10 to 11 years,Other,C#; Objective-C; Swift,7e3
United States,20 or more years,Web developer; Database administrator,C#; JavaScript,105e3
United States,20 or more years,Embedded applications/devices developer,C; C++; R,NA
India,11 to 12 years,Web developer,JavaScript; PHP,NA
Netherlands,20 or more years,Desktop applications developer,Perl; PHP,NA
Spain,4 to 5 years,Mobile developer,C#; Java,30107.5268817204
Italy,20 or more years,Web developer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist,C#; JavaScript; SQL; TypeScript; Visual Basic 6,NA
Australia,16 to 17 years,Web developer; Mobile developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist,C; C++; C#; CoffeeScript; Clojure; Java; JavaScript; Objective-C; SQL; Swift; TypeScript,NA
Colombia,14 to 15 years,Web developer; Mobile developer; Desktop applications developer,C#; SQL,NA
Spain,20 or more years,Web developer; Mobile developer; Embedded applications/devices developer; Systems administrator,JavaScript; PHP; SQL,NA
Ireland,20 or more years,Web developer; Machine learning specialist; Data scientist; Database administrator,C++; C#; JavaScript; R; SQL,NA
France,10 to 11 years,NA,Assembly; C++; C#; Java; JavaScript; Lua; Matlab; PHP; Python; R; Ruby; Scala; SQL; Swift; TypeScript,NA
India,2 to 3 years,Web developer; Mobile developer,Java; JavaScript; Python; Scala,13213.9186609896
United States,10 to 11 years,NA,JavaScript,NA
France,10 to 11 years,Web developer; Database administrator; Systems administrator,C; Go; Java; Python; SQL,53763.4408602151
India,3 to 4 years,Web developer; Developer with a statistics or mathematics background; Database administrator,C#; JavaScript; SQL; VBA,3876.08280722361
Netherlands,11 to 12 years,Web developer; Mobile developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator; Systems administrator,C++; Java; JavaScript; Objective-C; PHP; Ruby; SQL,47311.8279569892
India,20 or more years,Web developer; Desktop applications developer; Database administrator; Systems administrator,C#; JavaScript; SQL; VB.NET,16150.3450300984
Guatemala,19 to 20 years,Web developer; Embedded applications/devices developer; Data scientist; Graphic designer; Desktop applications developer; Database administrator; Systems administrator,C#; Java; JavaScript; PHP; SQL; VB.NET; VBA; Visual Basic 6,NA
India,1 to 2 years,NA,Java; SQL,NA
United States,4 to 5 years,Web developer,JavaScript; PHP; SQL,4e4
United States,3 to 4 years,NA,C++; Java; Perl; PHP; SQL,NA
Sweden,15 to 16 years,Web developer; Mobile developer; Graphics programming,JavaScript; Objective-C; PHP; SQL,NA
Germany,20 or more years,Mobile developer; Desktop applications developer; Systems administrator,Java,86021.5053763441
Germany,20 or more years,NA,Java; JavaScript; PHP; Ruby; SQL,NA
Bulgaria,16 to 17 years,Web developer; Database administrator; DevOps specialist,C#; JavaScript; SQL,97297.2972972973
Germany,20 or more years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer,NA,NA
Luxembourg,20 or more years,NA,Assembly; C; C#; Go; JavaScript; Python; Rust; SQL,NA
Australia,15 to 16 years,NA,Python; Swift,NA
Japan,5 to 6 years,NA,C; Java; JavaScript; Matlab; Python; SQL,NA
Germany,19 to 20 years,Web developer; Mobile developer; Desktop applications developer,C#; JavaScript; SQL; VB.NET,NA
Chile,9 to 10 years,Web developer; Mobile developer; Database administrator; Systems administrator; DevOps specialist,Java; JavaScript; PHP; SQL; Swift,NA
United Kingdom,18 to 19 years,Web developer; Desktop applications developer; Database administrator; Systems administrator,C#; JavaScript; SQL,NA
South Korea,20 or more years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer; Database administrator; Systems administrator,C; C++; Java; JavaScript; PHP,NA
Indonesia,4 to 5 years,NA,C++; JavaScript; PHP,NA
Norway,5 to 6 years,Web developer,JavaScript; PHP; Python; SQL,79185.5203619909
Sweden,20 or more years,Web developer; Mobile developer; Desktop applications developer,C++; C#; Go; JavaScript; Objective-C; Python; Rust; Swift; TypeScript,67873.3031674208
United Kingdom,20 or more years,Other,Python,NA
United States,20 or more years,Web developer; Desktop applications developer; Database administrator,C#; Java; JavaScript; SQL; VB.NET; VBA,NA
Thailand,13 to 14 years,Web developer; Desktop applications developer; Systems administrator,C#; Java; JavaScript; PHP; SQL,NA
United Kingdom,20 or more years,NA,SQL,NA
Indonesia,4 to 5 years,NA,Java; JavaScript; PHP; SQL; VB.NET; VBA; Visual Basic 6,NA
Slovak Republic,1 to 2 years,Web developer; Developer with a statistics or mathematics background; Systems administrator,C; Python,5376.34408602151
United States,8 to 9 years,Data scientist,C; JavaScript; Python; R; SQL,1e5
Ireland,5 to 6 years,Web developer; Developer with a statistics or mathematics background,C#; JavaScript; PHP; SQL; VB.NET; VBA,45698.9247311828
South Korea,3 to 4 years,Mobile developer,C#; Java; JavaScript; Python,26161.3457396248
Germany,20 or more years,Web developer; Mobile developer; Developer with a statistics or mathematics background,JavaScript; PHP; SQL,NA
India,3 to 4 years,Web developer; Database administrator; Systems administrator; DevOps specialist,JavaScript; PHP,NA
Australia,14 to 15 years,Web developer; Mobile developer; Data scientist; Systems administrator; DevOps specialist,JavaScript; Python,NA
Austria,9 to 10 years,Web developer; Mobile developer; Other,C; C++; Java; JavaScript; Matlab; Objective-C; PHP; Python; SQL,37634.4086021505
Germany,10 to 11 years,Mobile developer; Machine learning specialist,C; C++; Java; JavaScript; Objective-C; Python; Ruby; Swift,NA
Netherlands,7 to 8 years,Web developer,JavaScript; Ruby,49677.4193548387
United Kingdom,10 to 11 years,Web developer,Java; SQL,NA
Belgium,16 to 17 years,Web developer; Mobile developer; Developer with a statistics or mathematics background; DevOps specialist,C; Go; JavaScript; PHP; Python,107526.88172043
United Kingdom,12 to 13 years,Web developer; Graphic designer,JavaScript; PHP,NA
United States,20 or more years,Web developer,JavaScript; SQL,14e4
Bangladesh,20 or more years,Machine learning specialist; Data scientist,Java; JavaScript; Python; Smalltalk,15e4
Austria,20 or more years,NA,C#; Common Lisp; Haskell; Java; JavaScript; Smalltalk; SQL; VBA,NA
Israel,20 or more years,NA,JavaScript; Python,NA
Russian Federation,14 to 15 years,Developer with a statistics or mathematics background; Data scientist; Database administrator; DevOps specialist,C; C++; Erlang; Java; JavaScript; Python; SQL,NA
Costa Rica,7 to 8 years,NA,Assembly; C; C++; C#; Java; JavaScript; Matlab; Python; SQL,NA
Australia,16 to 17 years,Web developer,JavaScript; Ruby; SQL,36363.6363636364
Portugal,15 to 16 years,Web developer,C; Java; JavaScript; PHP; SQL,53763.4408602151
India,4 to 5 years,Web developer; Data scientist,JavaScript; Matlab; Python,NA
South Korea,20 or more years,NA,C; Haskell; Ruby,NA
United States,19 to 20 years,Web developer; Mobile developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,C; Java; JavaScript; Matlab; Python; SQL,NA
Serbia,9 to 10 years,Web developer; Systems administrator; DevOps specialist; Other,PHP; Python,NA
Germany,20 or more years,Graphics programming; Graphic designer; Desktop applications developer,C; C++; C#; CoffeeScript; JavaScript; Lua; Python; Ruby; SQL,48387.0967741935
Australia,13 to 14 years,Web developer,Java; JavaScript; SQL,NA
Hungary,20 or more years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer; Systems administrator,C; C++; JavaScript; PHP,20623.5176846664
United States,13 to 14 years,Web developer; Mobile developer; Database administrator; Systems administrator; DevOps specialist,Java; JavaScript; SQL,8e4
India,3 to 4 years,Web developer,PHP,5138.74614594039
Spain,8 to 9 years,Web developer; Systems administrator; DevOps specialist,Assembly; C; Java; JavaScript; PHP; SQL; TypeScript,NA
United States,18 to 19 years,Web developer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,C; C#; TypeScript,NA
Poland,16 to 17 years,Web developer; DevOps specialist,JavaScript; PHP; Python; SQL,14814.8148148148
Australia,10 to 11 years,Other,Java; JavaScript; PHP; Python; SQL,45454.5454545455
Canada,6 to 7 years,Mobile developer; Embedded applications/devices developer; Desktop applications developer; Database administrator; Other,C; C++; C#; Java; SQL,NA
United States,20 or more years,Developer with a statistics or mathematics background,C; C++; Go; Java; JavaScript; Lua; Objective-C; Python,NA
United Kingdom,18 to 19 years,Web developer; Systems administrator; DevOps specialist,JavaScript; PHP,68750
Germany,20 or more years,Embedded applications/devices developer; Developer with a statistics or mathematics background; Desktop applications developer; Systems administrator,Assembly; C; SQL,NA
Netherlands,16 to 17 years,Web developer; Mobile developer; Desktop applications developer; Other,C#; JavaScript; SQL; TypeScript,58064.5161290323
United Kingdom,9 to 10 years,Web developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Data scientist,C; C#; F#; Go; JavaScript; PHP; SQL; TypeScript,NA
United States,18 to 19 years,Web developer; Mobile developer; Graphics programming; Developer with a statistics or mathematics background; Data scientist; Graphic designer; Database administrator; Systems administrator,C#; CoffeeScript; F#; Java; Perl; PHP; Python; Ruby; SQL; VB.NET; Visual Basic 6,7e4
Russian Federation,16 to 17 years,Web developer; DevOps specialist,Python,NA
Romania,17 to 18 years,Web developer; Database administrator; Systems administrator,C#; JavaScript; SQL,NA
Italy,18 to 19 years,NA,Assembly; Java,NA
United States,20 or more years,Embedded applications/devices developer,Assembly; C; C#; JavaScript; PHP,NA
Greece,20 or more years,Web developer; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator,C#; JavaScript; SQL; Visual Basic 6,NA
France,11 to 12 years,NA,Java; JavaScript; PHP; SQL,NA
Israel,17 to 18 years,Web developer; Desktop applications developer,C++; C#; SQL,29110.5121293801
Ukraine,4 to 5 years,Web developer,JavaScript; R; Ruby,NA
United Kingdom,20 or more years,Desktop applications developer,C++; C#; TypeScript,1e5
Uruguay,20 or more years,Web developer; Mobile developer; Systems administrator; DevOps specialist,C#; Java; JavaScript; PHP; Python; SQL; Swift; VB.NET,NA
Russian Federation,20 or more years,Web developer; Mobile developer; Desktop applications developer; DevOps specialist,JavaScript; SQL; Swift,NA
India,2 to 3 years,Web developer,PHP; SQL,NA
Lithuania,14 to 15 years,NA,NA,NA
Greece,20 or more years,NA,C; C++; Erlang; Perl; PHP; Python; R; Ruby; SQL,NA
India,4 to 5 years,Mobile developer,C; Objective-C; Swift,8809.27910732638
South Korea,20 or more years,Graphics programming,C,69763.5886389996
United States,8 to 9 years,Web developer; Database administrator; Systems administrator; DevOps specialist,JavaScript; PHP; SQL,67e3
Saint Vincent & Grenadines,20 or more years,NA,PHP; SQL,NA
France,9 to 10 years,Web developer,JavaScript; PHP; Python; Ruby,NA
Australia,20 or more years,Web developer; Desktop applications developer,C#; JavaScript; PHP; SQL; TypeScript; Visual Basic 6,NA
Netherlands,20 or more years,NA,C; Python; R; SQL,NA
Germany,10 to 11 years,Web developer; DevOps specialist,JavaScript; PHP; SQL,NA
Mexico,4 to 5 years,Web developer; Mobile developer; Database administrator; Systems administrator,JavaScript; PHP; Python; SQL; Swift; TypeScript,7464.11483253589
United States,17 to 18 years,Web developer,Go; Java; JavaScript; Ruby,NA
Germany,10 to 11 years,Mobile developer; Graphics programming; Desktop applications developer,Assembly; C; C++; C#,45161.2903225806
United States,20 or more years,Developer with a statistics or mathematics background,C; C#; Java; JavaScript; SQL; VB.NET; VBA,NA
United States,16 to 17 years,NA,C++; Go; Java; Python; SQL,NA
Russian Federation,1 to 2 years,NA,JavaScript; Python; SQL,NA
United States,14 to 15 years,Web developer; Database administrator; Systems administrator; DevOps specialist,JavaScript; PHP; SQL,1e5
Finland,19 to 20 years,Web developer; Developer with a statistics or mathematics background,C++; Go; JavaScript; Python; R; SQL,26881.7204301075
Egypt,16 to 17 years,Web developer; Desktop applications developer; DevOps specialist,Java; SQL,NA
Netherlands,20 or more years,Web developer; Mobile developer; Embedded applications/devices developer; Systems administrator; DevOps specialist,Java; JavaScript; PHP; SQL; TypeScript,72688.1720430108
Lithuania,7 to 8 years,Web developer; Mobile developer,C#; JavaScript; PHP,22580.6451612903
France,20 or more years,Web developer; Systems administrator,Java; JavaScript; SQL,NA
Turkey,15 to 16 years,Mobile developer; Embedded applications/devices developer; Graphics programming; Machine learning specialist; Developer with a statistics or mathematics background; Desktop applications developer,C; C#; Java; JavaScript; SQL; VBA; Visual Basic 6,NA
Australia,20 or more years,Mobile developer; Graphics programming,C#; JavaScript,113636.363636364
Australia,20 or more years,NA,Assembly; C++; Dart; Perl,NA
United States,10 to 11 years,NA,JavaScript; Python; SQL,NA
Germany,20 or more years,Web developer; Mobile developer; Data scientist; Database administrator; Systems administrator,C#; JavaScript; PHP; SQL,50537.6344086021
Spain,20 or more years,Developer with a statistics or mathematics background,Go,107526.88172043
Peru,7 to 8 years,Web developer; Machine learning specialist; Database administrator; Systems administrator,JavaScript; PHP,NA
Spain,14 to 15 years,Web developer; DevOps specialist; Other,CoffeeScript; Clojure; Dart; Groovy; Java; JavaScript; PHP; Python; Rust; SQL,48387.0967741935
Poland,2 to 3 years,Web developer; DevOps specialist,C++; JavaScript,NA
Thailand,20 or more years,NA,Assembly; C; C++; C#; Java; SQL; VB.NET,NA
Netherlands,10 to 11 years,Web developer,JavaScript; PHP; SQL,NA
Austria,20 or more years,Web developer; Desktop applications developer,C++; C#; JavaScript; SQL,NA
Switzerland,20 or more years,Web developer,Java; JavaScript; PHP; SQL,NA
United States,2 to 3 years,NA,C#; Java; JavaScript; PHP; SQL; Swift,NA
South Africa,10 to 11 years,Web developer; Systems administrator; DevOps specialist,JavaScript; Python; SQL,NA
Italy,13 to 14 years,Developer with a statistics or mathematics background,NA,NA
India,1 to 2 years,Web developer; Desktop applications developer,C#; JavaScript; SQL; VB.NET; VBA; Visual Basic 6,163134.796652474
Vietnam,11 to 12 years,Web developer; Embedded applications/devices developer; Machine learning specialist; Data scientist; Database administrator; Systems administrator; DevOps specialist,Clojure; Java; JavaScript; Python; Scala; SQL,18e3
Japan,20 or more years,Web developer; Database administrator; Systems administrator; DevOps specialist,JavaScript; PHP; SQL,52115.0004342917
India,1 to 2 years,Web developer,JavaScript; SQL,NA
Sweden,20 or more years,NA,Go; JavaScript; Python; R; Ruby,NA
Indonesia,16 to 17 years,NA,C++; Java; JavaScript; PHP; SQL; VB.NET; Visual Basic 6,NA
United Kingdom,20 or more years,Other,Go; Groovy; Java; JavaScript; Python; Scala,NA
United Kingdom,11 to 12 years,DevOps specialist,C; Python,NA
Iran,9 to 10 years,Web developer,Java; SQL,NA
India,6 to 7 years,NA,C; C++; Java; JavaScript; PHP; SQL,NA
United Kingdom,7 to 8 years,Web developer; Mobile developer; Database administrator,C#; Java; JavaScript; SQL,NA
Finland,20 or more years,Web developer; Other,C++; JavaScript; Lua; Python; SQL,NA
United States,20 or more years,Web developer,Java; SQL,NA
United States,13 to 14 years,Web developer,Go; JavaScript; PHP; SQL,6e4
France,10 to 11 years,NA,JavaScript; Python; SQL,NA
Spain,20 or more years,Web developer; Graphics programming; Desktop applications developer; Database administrator; Systems administrator,C#; PHP; SQL,NA
United Kingdom,9 to 10 years,Web developer; Database administrator; DevOps specialist,JavaScript; PHP; SQL,28750
Germany,7 to 8 years,Web developer; Mobile developer; Data scientist; Desktop applications developer; Quality assurance engineer,Assembly; C; C++; C#; JavaScript; SQL; TypeScript,NA
Spain,20 or more years,Web developer,C++; JavaScript; PHP; SQL; TypeScript,NA
Sweden,20 or more years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer; Database administrator; DevOps specialist,Java; JavaScript; SQL,NA
Israel,7 to 8 years,Web developer; Systems administrator; DevOps specialist,JavaScript; Perl; PHP,6199.46091644205
United States,15 to 16 years,NA,JavaScript; PHP; SQL,NA
Switzerland,20 or more years,Graphics programming; Developer with a statistics or mathematics background; Desktop applications developer,JavaScript; PHP; Python; VBA,NA
Israel,15 to 16 years,Web developer; Mobile developer; Developer with a statistics or mathematics background; Desktop applications developer,Assembly; C; C++; C#; CoffeeScript; Clojure; Elixir; F#; Go; Haskell; Java; JavaScript; Objective-C; PHP; Python; Ruby; Scala; SQL; Swift; TypeScript,NA
United Kingdom,8 to 9 years,Web developer; Systems administrator; DevOps specialist,CoffeeScript; JavaScript; SQL,NA
Germany,20 or more years,Web developer; Embedded applications/devices developer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist,JavaScript; Ruby; Rust,59139.7849462366
Germany,5 to 6 years,Web developer; DevOps specialist; Quality assurance engineer,Java,NA
Germany,8 to 9 years,Web developer,PHP,66666.6666666667
India,16 to 17 years,NA,C#; SQL,NA
Russian Federation,6 to 7 years,Web developer; Embedded applications/devices developer; Data scientist; DevOps specialist,C; CoffeeScript; Go; JavaScript; Python; TypeScript,NA
Turkey,6 to 7 years,Web developer; DevOps specialist,JavaScript; Python; Ruby; SQL,14876.0330578512
Spain,20 or more years,Desktop applications developer; Database administrator,C; C++; C#; SQL,NA
India,9 to 10 years,NA,C#; Java; JavaScript; PHP; Python; SQL; Swift,NA
Russian Federation,7 to 8 years,Web developer,Elixir; JavaScript; PHP; SQL,2005.01253132832
Australia,9 to 10 years,NA,PHP; Python,NA
Kenya,8 to 9 years,Web developer; Graphic designer; Desktop applications developer; Systems administrator,Java,NA
Australia,7 to 8 years,NA,JavaScript; PHP; SQL,NA
Switzerland,14 to 15 years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer; Systems administrator; DevOps specialist,C++; CoffeeScript; Groovy; Java; JavaScript; Objective-C; PHP; Ruby; Swift,NA
India,16 to 17 years,Web developer; Developer with a statistics or mathematics background,Java,1761.85582146528
United Kingdom,15 to 16 years,Web developer; Database administrator; Systems administrator; DevOps specialist,JavaScript; PHP; SQL,NA
Norway,20 or more years,NA,NA,NA
Cyprus,11 to 12 years,Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,JavaScript; PHP; SQL,NA
Zimbabwe,3 to 4 years,Data scientist,C#; Python; SQL,700
United Kingdom,17 to 18 years,Web developer; Developer with a statistics or mathematics background; Graphic designer,Java; JavaScript; PHP; Python; SQL,3e4
India,2 to 3 years,Web developer,PHP,NA
Pakistan,1 to 2 years,Web developer; Desktop applications developer; Database administrator,Assembly; C; C++; C#; Java; JavaScript; PHP; SQL,NA
Russian Federation,13 to 14 years,Web developer,CoffeeScript; Go; JavaScript; Python; Ruby; Rust; SQL; Swift,NA
France,17 to 18 years,Web developer; Desktop applications developer,JavaScript; SQL,NA
United Kingdom,20 or more years,Web developer; Mobile developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Database administrator; Systems administrator,JavaScript; Python; Ruby; SQL,NA
Germany,20 or more years,NA,JavaScript; SQL,NA
India,4 to 5 years,Web developer; Mobile developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Database administrator,JavaScript; Python; R; SQL,NA
France,20 or more years,NA,Perl,NA
Russian Federation,15 to 16 years,Web developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; DevOps specialist,Java; JavaScript; Scala; SQL,NA
Canada,20 or more years,NA,JavaScript; PHP,NA
Italy,14 to 15 years,Web developer; Systems administrator; DevOps specialist,Go; JavaScript; PHP; Python; SQL,32258.064516129
India,11 to 12 years,Web developer; Mobile developer; Graphic designer,NA,NA
United States,20 or more years,Web developer; Database administrator; Systems administrator,Go; JavaScript; PHP; SQL,55e3
Finland,14 to 15 years,Web developer; Mobile developer; Database administrator; Systems administrator; DevOps specialist; Other,JavaScript; Objective-C; PHP; SQL; Swift,29677.4193548387
Canada,13 to 14 years,Web developer; Other,Java; JavaScript,90909.0909090909
United States,20 or more years,Web developer; Data scientist; Database administrator; Systems administrator,JavaScript; SQL,NA
Uzbekistan,1 to 2 years,Mobile developer,Java,NA
Luxembourg,14 to 15 years,Mobile developer; Desktop applications developer; Systems administrator,Java; Python; SQL,43010.752688172
Cyprus,20 or more years,Web developer; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,PHP; SQL,53225.8064516129
United States,20 or more years,Web developer; Mobile developer; Machine learning specialist; Data scientist; DevOps specialist,Assembly; C; C++; C#; Erlang; Java; JavaScript; Objective-C; PHP; Python; R; Ruby; SQL; Swift; TypeScript; VB.NET,NA
Germany,20 or more years,NA,JavaScript; Perl; PHP; SQL; VBA,NA
Japan,20 or more years,Mobile developer; Embedded applications/devices developer; Graphics programming,C++; Java; Objective-C; Python; SQL; Swift,65143.750542864604
Senegal,5 to 6 years,Web developer; Mobile developer,Java,NA
New Zealand,7 to 8 years,NA,JavaScript; PHP; Ruby; SQL,NA
United Kingdom,6 to 7 years,Web developer,Java; JavaScript; Objective-C; PHP; Python; Ruby; SQL; VB.NET; Visual Basic 6,NA
Australia,10 to 11 years,Web developer; Database administrator; Systems administrator,Java; JavaScript; PHP; Python; Scala; SQL,NA
Switzerland,20 or more years,NA,Python; VB.NET; VBA,NA
Nigeria,9 to 10 years,Web developer; Mobile developer; Desktop applications developer,C#; Java; JavaScript; PHP; SQL,NA
Canada,15 to 16 years,NA,Python; Ruby; SQL,NA
Australia,5 to 6 years,Web developer; Database administrator,JavaScript; PHP; SQL,NA
United States,20 or more years,Web developer,Groovy; JavaScript; PHP; Python; SQL,75e3
India,2 to 3 years,Web developer,C; C++; Groovy; Java; JavaScript; SQL,NA
United Kingdom,20 or more years,Other,C; C++; C#; JavaScript; PHP; SQL,NA
France,20 or more years,NA,C++,NA
India,1 to 2 years,Web developer,NA,4404.63955366319
Netherlands,11 to 12 years,Web developer,Go; JavaScript; PHP; SQL,48387.0967741935
India,7 to 8 years,Web developer,JavaScript; PHP; SQL,1952.72353545735
United States,20 or more years,Web developer,Groovy; SQL,18e4
Belarus,3 to 4 years,Web developer; Database administrator; DevOps specialist,PHP; SQL,1200
Uruguay,12 to 13 years,Web developer; Database administrator; Systems administrator; DevOps specialist,C; Java; JavaScript; PHP; Python; SQL,NA
Poland,20 or more years,Mobile developer; Desktop applications developer,C; C++; Lua; SQL; Swift; VBA,NA
India,1 to 2 years,Web developer,CoffeeScript; JavaScript; PHP; Ruby; SQL,NA
Portugal,20 or more years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer,JavaScript; PHP,64516.1290322581
Germany,19 to 20 years,Web developer; Machine learning specialist,Java; JavaScript; PHP; Python; SQL,NA
France,20 or more years,Web developer; Graphics programming; Desktop applications developer,C; JavaScript; PHP; SQL,NA
United Kingdom,4 to 5 years,Web developer; Database administrator; Systems administrator,C#; JavaScript; TypeScript,75e3
Slovak Republic,3 to 4 years,Web developer; Graphics programming; Graphic designer,C#; JavaScript; PHP; TypeScript,NA
India,4 to 5 years,Web developer,C; JavaScript; PHP; SQL,NA
Israel,20 or more years,Desktop applications developer; Database administrator; Systems administrator,SQL,NA
France,20 or more years,Machine learning specialist; Developer with a statistics or mathematics background; Other,Haskell; Python,NA
Germany,18 to 19 years,DevOps specialist,CoffeeScript; JavaScript; SQL,NA
India,4 to 5 years,NA,Assembly; Java,NA
Poland,6 to 7 years,Web developer,C#; JavaScript; Python; SQL,NA
United Arab Emirates,1 to 2 years,NA,C#; PHP; SQL; VB.NET,NA
Italy,5 to 6 years,Embedded applications/devices developer,C; C#; F#; PHP,NA
India,1 to 2 years,Web developer; Quality assurance engineer,C; C++; C#; Java; JavaScript; Matlab; PHP; SQL; VB.NET; Visual Basic 6,NA
United Kingdom,20 or more years,Web developer; Database administrator; Systems administrator,C#; JavaScript; Ruby; SQL; VB.NET; VBA,NA
Pakistan,16 to 17 years,Web developer,Groovy; JavaScript,500
Turkey,20 or more years,Web developer; Database administrator; Systems administrator,JavaScript; PHP; SQL,8264.46280991736
Czech Republic,10 to 11 years,Web developer; Desktop applications developer,C#,18794.0485512921
United States,20 or more years,Web developer; Mobile developer; Desktop applications developer; Database administrator,C++; C#; Java; Objective-C; Perl; PHP; SQL; Swift,145e3
United Kingdom,20 or more years,Web developer; Developer with a statistics or mathematics background; Data scientist; Systems administrator; DevOps specialist,NA,75e3
United States,20 or more years,Web developer; Database administrator,JavaScript; SQL; VB.NET,NA
Israel,13 to 14 years,Web developer; Mobile developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Database administrator; DevOps specialist,Java; JavaScript; Ruby,NA
China,20 or more years,Web developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Systems administrator,Assembly; C; C++; Go; Haskell; Java; JavaScript; Lua; Matlab; Perl; Python; R; Scala,NA
Switzerland,10 to 11 years,Web developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; DevOps specialist,NA,NA
Philippines,15 to 16 years,Web developer,NA,NA
Denmark,7 to 8 years,Web developer; Embedded applications/devices developer; Database administrator; Systems administrator,NA,14245.0142450142
Luxembourg,20 or more years,NA,Assembly; C; Erlang; Java; JavaScript,NA
Canada,14 to 15 years,Web developer; Developer with a statistics or mathematics background,NA,NA
Israel,17 to 18 years,Machine learning specialist,NA,NA
Spain,20 or more years,Web developer; Mobile developer; Database administrator,NA,NA
United States,14 to 15 years,Web developer,NA,NA
Germany,13 to 14 years,Web developer; Desktop applications developer; Database administrator,NA,NA
Austria,10 to 11 years,Other,NA,57204.3010752688
Canada,20 or more years,NA,NA,NA
United States,20 or more years,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist,C; C++; Java; JavaScript; Perl; PHP; SQL,114e3
Israel,20 or more years,Web developer; Systems administrator,JavaScript; Python; SQL,81e3
